context,factor,level,matches,effective_weak_quality,weak_win_rate,mean_weak_round_margin,assignment_comfort,igl_experience
normalized_65v85_supplement,igl_experience,100,900,65.0,0.008888888888888889,-9.408888888888889,100.0,100.0
normalized_65v85_supplement,igl_experience,40,900,65.0,0.01,-9.421111111111111,100.0,40.0
normalized_65v85_supplement,igl_experience,60,900,65.0,0.01,-9.422222222222222,100.0,60.0
normalized_65v85_supplement,igl_experience,80,900,65.0,0.008888888888888889,-9.426666666666666,100.0,80.0
normalized_65v85_supplement,mental_bundle,45,900,59.0,0.01,-9.51,100.0,100.0
normalized_65v85_supplement,mental_bundle,65,900,65.0,0.008888888888888889,-9.408888888888889,100.0,100.0
normalized_65v85_supplement,mental_bundle,85,900,71.0,0.013333333333333334,-9.242222222222223,100.0,100.0
normalized_65v85_supplement,micro_bundle,45,900,59.0,0.0,-11.86888888888889,100.0,100.0
normalized_65v85_supplement,micro_bundle,65,900,65.0,0.008888888888888889,-9.408888888888889,100.0,100.0
normalized_65v85_supplement,micro_bundle,85,900,71.0,0.31222222222222223,-2.6366666666666667,100.0,100.0
normalized_65v85_supplement,role_assignment,aligned,900,75.55600000000001,0.18666666666666668,-4.433333333333334,100.0,100.0
normalized_65v85_supplement,role_assignment,rotated,900,65.0,0.024444444444444446,-8.654444444444444,100.0,100.0
normalized_65v85_supplement,role_assignment,worst_fit,900,61.5,0.006666666666666667,-9.79,100.0,100.0
normalized_65v85_supplement,role_comfort,100,900,65.0,0.008888888888888889,-9.408888888888889,100.0,100.0
normalized_65v85_supplement,role_comfort,40,900,61.4,0.0033333333333333335,-10.247777777777777,40.0,100.0
normalized_65v85_supplement,role_comfort,60,900,62.6,0.0044444444444444444,-9.995555555555555,60.0,100.0
normalized_65v85_supplement,role_comfort,80,900,63.8,0.006666666666666667,-9.797777777777778,80.0,100.0
normalized_65v85_supplement,shared_language,100,900,65.0,0.008888888888888889,-9.408888888888889,100.0,100.0
normalized_65v85_supplement,shared_language,20,900,65.0,0.008888888888888889,-9.408888888888889,100.0,100.0
normalized_65v85_supplement,shared_language,50,900,65.0,0.008888888888888889,-9.408888888888889,100.0,100.0
normalized_65v85_supplement,shared_language,75,900,65.0,0.008888888888888889,-9.408888888888889,100.0,100.0
normalized_65v85_supplement,shared_language,no_common,900,65.0,0.008888888888888889,-9.408888888888889,100.0,100.0
normalized_65v85_supplement,tactical_bundle,45,900,59.0,0.0033333333333333335,-10.418888888888889,100.0,100.0
normalized_65v85_supplement,tactical_bundle,65,900,65.0,0.008888888888888889,-9.408888888888889,100.0,100.0
normalized_65v85_supplement,tactical_bundle,85,900,71.0,0.03777777777777778,-8.112222222222222,100.0,100.0
normalized_75v80_supplement,igl_experience,100,900,75.0,0.2677777777777778,-3.2855555555555553,100.0,100.0
normalized_75v80_supplement,igl_experience,40,900,75.0,0.27,-3.252222222222222,100.0,40.0
normalized_75v80_supplement,igl_experience,60,900,75.0,0.27,-3.267777777777778,100.0,60.0
normalized_75v80_supplement,igl_experience,80,900,75.0,0.2677777777777778,-3.281111111111111,100.0,80.0
normalized_75v80_supplement,mental_bundle,45,900,66.0,0.2544444444444444,-3.5833333333333335,100.0,100.0
normalized_75v80_supplement,mental_bundle,65,900,72.0,0.26666666666666666,-3.3533333333333335,100.0,100.0
normalized_75v80_supplement,mental_bundle,85,900,78.0,0.2733333333333333,-3.201111111111111,100.0,100.0
normalized_75v80_supplement,micro_bundle,45,900,66.0,0.0,-11.126666666666667,100.0,100.0
normalized_75v80_supplement,micro_bundle,65,900,72.0,0.07,-7.108888888888889,100.0,100.0
normalized_75v80_supplement,micro_bundle,85,900,78.0,0.6277777777777778,1.8066666666666666,100.0,100.0
normalized_75v80_supplement,role_assignment,aligned,900,85.04272212389381,0.7911111111111111,4.237777777777778,100.0,100.0
normalized_75v80_supplement,role_assignment,rotated,900,74.94774424778761,0.36,-1.7577777777777779,100.0,100.0
normalized_75v80_supplement,role_assignment,worst_fit,900,71.5,0.24222222222222223,-3.7466666666666666,100.0,100.0
normalized_75v80_supplement,role_comfort,100,900,75.0,0.2677777777777778,-3.2855555555555553,100.0,100.0
normalized_75v80_supplement,role_comfort,40,900,71.4,0.16111111111111112,-5.231111111111111,40.0,100.0
normalized_75v80_supplement,role_comfort,60,900,72.6,0.19333333333333333,-4.557777777777778,60.0,100.0
normalized_75v80_supplement,role_comfort,80,900,73.8,0.2311111111111111,-3.99,80.0,100.0
normalized_75v80_supplement,shared_language,100,900,75.0,0.2677777777777778,-3.2855555555555553,100.0,100.0
normalized_75v80_supplement,shared_language,20,900,75.0,0.2677777777777778,-3.2855555555555553,100.0,100.0
normalized_75v80_supplement,shared_language,50,900,75.0,0.2677777777777778,-3.2855555555555553,100.0,100.0
normalized_75v80_supplement,shared_language,75,900,75.0,0.2677777777777778,-3.2855555555555553,100.0,100.0
normalized_75v80_supplement,shared_language,no_common,900,75.0,0.2677777777777778,-3.2855555555555553,100.0,100.0
normalized_75v80_supplement,tactical_bundle,45,900,66.0,0.08777777777777777,-6.683333333333334,100.0,100.0
normalized_75v80_supplement,tactical_bundle,65,900,72.0,0.19333333333333333,-4.518888888888889,100.0,100.0
normalized_75v80_supplement,tactical_bundle,85,900,78.0,0.35555555555555557,-2.0877777777777777,100.0,100.0
