context,factor,seed_block,effect
normalized_75v80_supplement,micro_bundle,30000,12.806666666666667
normalized_75v80_supplement,micro_bundle,40000,12.856666666666667
normalized_75v80_supplement,micro_bundle,50000,13.136666666666667
normalized_65v85,weak_overall,0,12.246666666666666
normalized_65v85,weak_overall,10000,12.226666666666667
normalized_65v85,weak_overall,20000,12.35
normalized_65v85_supplement,micro_bundle,30000,9.3
normalized_65v85_supplement,micro_bundle,40000,9.533333333333333
normalized_65v85_supplement,micro_bundle,50000,8.863333333333333
normalized_75v80_supplement,role_assignment,30000,7.926666666666667
normalized_75v80_supplement,role_assignment,40000,7.776666666666666
normalized_75v80_supplement,role_assignment,50000,8.25
equal_75v75_mechanisms,role_assignment,60000,7.506666666666667
equal_75v75_mechanisms,role_assignment,70000,7.533333333333333
equal_75v75_mechanisms,role_assignment,80000,6.633333333333334
normalized_65v85_supplement,role_assignment,30000,5.34
normalized_65v85_supplement,role_assignment,40000,5.206666666666667
normalized_65v85_supplement,role_assignment,50000,5.523333333333333
equal_75v75_core,halftime_talk,60000,5.1866666666666665
equal_75v75_core,halftime_talk,70000,4.766666666666667
equal_75v75_core,halftime_talk,80000,4.44
normalized_75v80_supplement,tactical_bundle,30000,4.276666666666666
normalized_75v80_supplement,tactical_bundle,40000,5.036666666666667
normalized_75v80_supplement,tactical_bundle,50000,4.473333333333334
equal_75v75_core,tactic_aggression,60000,4.88
equal_75v75_core,tactic_aggression,70000,3.7466666666666666
equal_75v75_core,tactic_aggression,80000,4.473333333333334
normalized_65v85,skill_aim_precision,0,4.3133333333333335
normalized_65v85,skill_aim_precision,10000,4.02
normalized_65v85,skill_aim_precision,20000,3.68
equal_75v75_core,form,60000,4.44
equal_75v75_core,form,70000,4.04
equal_75v75_core,form,80000,3.44
equal_75v75_core,chemistry_complex_system,60000,3.64
equal_75v75_core,chemistry_complex_system,70000,3.7
equal_75v75_core,chemistry_complex_system,80000,3.72
normalized_65v85,skill_aim_reactivity,0,3.513333333333333
normalized_65v85,skill_aim_reactivity,10000,3.31
normalized_65v85,skill_aim_reactivity,20000,3.506666666666667
equal_75v75_core,counter_edge,60000,3.4
equal_75v75_core,counter_edge,70000,3.56
equal_75v75_core,counter_edge,80000,2.7066666666666666
equal_75v75_core,confidence,60000,3.1266666666666665
equal_75v75_core,confidence,70000,3.06
equal_75v75_core,confidence,80000,2.76
equal_75v75_core,stamina,60000,3.1666666666666665
equal_75v75_core,stamina,70000,2.94
equal_75v75_core,stamina,80000,2.6933333333333334
equal_75v75_core,touchline_shout,60000,2.6666666666666665
equal_75v75_core,touchline_shout,70000,3.46
equal_75v75_core,touchline_shout,80000,2.3933333333333335
normalized_65v85_supplement,tactical_bundle,30000,2.23
normalized_65v85_supplement,tactical_bundle,40000,2.2666666666666666
normalized_65v85_supplement,tactical_bundle,50000,2.4233333333333333
normalized_65v85,halftime_talk,0,2.506666666666667
normalized_65v85,halftime_talk,10000,2.27
normalized_65v85,halftime_talk,20000,2.066666666666667
equal_75v75_mechanisms,role_comfort,60000,1.7733333333333334
equal_75v75_mechanisms,role_comfort,70000,2.28
equal_75v75_mechanisms,role_comfort,80000,2.24
normalized_75v80_supplement,role_comfort,30000,2.0166666666666666
normalized_75v80_supplement,role_comfort,40000,1.9866666666666666
normalized_75v80_supplement,role_comfort,50000,1.8333333333333333
normalized_65v85,tactic_aggression,0,2.0966666666666667
normalized_65v85,tactic_aggression,10000,1.73
normalized_65v85,tactic_aggression,20000,1.95
normalized_65v85,touchline_shout,0,2.01
normalized_65v85,touchline_shout,10000,1.81
normalized_65v85,touchline_shout,20000,1.92
normalized_65v85,skill_game_sense,0,1.42
normalized_65v85,skill_game_sense,10000,1.2566666666666666
normalized_65v85,skill_game_sense,20000,1.5133333333333334
normalized_65v85,form,0,1.5766666666666667
normalized_65v85,form,10000,1.2966666666666666
normalized_65v85,form,20000,1.1533333333333333
normalized_65v85_complex_system,chemistry_complex_system,0,1.4
normalized_65v85_complex_system,chemistry_complex_system,10000,1.2766666666666666
normalized_65v85_complex_system,chemistry_complex_system,20000,1.1366666666666667
normalized_65v85_supplement,role_comfort,30000,0.9366666666666666
normalized_65v85_supplement,role_comfort,40000,0.8733333333333333
normalized_65v85_supplement,role_comfort,50000,0.7066666666666667
normalized_75v80_supplement,mental_bundle,30000,0.22666666666666666
normalized_75v80_supplement,mental_bundle,40000,0.54
normalized_75v80_supplement,mental_bundle,50000,0.38
normalized_65v85_supplement,mental_bundle,30000,0.19333333333333333
normalized_65v85_supplement,mental_bundle,40000,0.3233333333333333
normalized_65v85_supplement,mental_bundle,50000,0.2866666666666667
equal_75v75_mechanisms,igl_experience,60000,0.16
equal_75v75_mechanisms,igl_experience,70000,0.02
equal_75v75_mechanisms,igl_experience,80000,0.013333333333333334
normalized_75v80_supplement,igl_experience,30000,-0.06666666666666667
normalized_75v80_supplement,igl_experience,40000,0.0033333333333333335
normalized_75v80_supplement,igl_experience,50000,-0.03666666666666667
normalized_65v85_supplement,igl_experience,30000,0.02
normalized_65v85_supplement,igl_experience,40000,0.02
normalized_65v85_supplement,igl_experience,50000,-0.0033333333333333335
equal_75v75_mechanisms,shared_language,60000,0.0
equal_75v75_mechanisms,shared_language,70000,0.0
equal_75v75_mechanisms,shared_language,80000,0.0
normalized_65v85_supplement,shared_language,30000,0.0
normalized_65v85_supplement,shared_language,40000,0.0
normalized_65v85_supplement,shared_language,50000,0.0
normalized_75v80_supplement,shared_language,30000,0.0
normalized_75v80_supplement,shared_language,40000,0.0
normalized_75v80_supplement,shared_language,50000,0.0
