matchup,format,team_role,win_rate,ci_low,ci_high,underdog_win_rate,series_rows,seed_clusters
65 vs 85,BO1,favorite,0.9922222222222222,0.9865813824353712,0.9978630620090733,0.007777777777777778,900,90
65 vs 85,BO3,favorite,1.0,1.0,1.0,0.0,180,90
65 vs 85,BO5,favorite,1.0,1.0,1.0,0.0,180,90
75 vs 85,BO1,favorite,0.8977777777777778,0.8817750893369963,0.9137804662185592,0.10222222222222221,900,90
75 vs 85,BO3,favorite,0.9833333333333333,0.9644296707555982,1.0,0.016666666666666666,180,90
75 vs 85,BO5,favorite,0.9944444444444445,0.9834056738916318,1.0,0.005555555555555556,180,90
80 vs 85,BO1,favorite,0.721111111111111,0.6947496548801242,0.7474725673420981,0.2788888888888889,900,90
80 vs 85,BO3,favorite,0.7888888888888889,0.7323350458338646,0.8454427319439133,0.2111111111111111,180,90
80 vs 85,BO5,favorite,0.8555555555555556,0.805309015554408,0.9058020955567031,0.14444444444444443,180,90
75 vs 80,BO1,favorite,0.7322222222222222,0.7059857123754802,0.7584587320689642,0.2677777777777778,900,90
75 vs 80,BO3,favorite,0.8333333333333334,0.7812668436972752,0.8853998229693915,0.16666666666666666,180,90
75 vs 80,BO5,favorite,0.8888888888888888,0.8451074812289924,0.9326702965487854,0.1111111111111111,180,90
75 vs 75 identical,BO3,designated equal team,0.49333333333333335,0.43720207035328285,0.5496331692630444,,300,300
75 vs 75 identical,BO5,designated equal team,0.49,0.43391704888051774,0.5463358105439731,,300,300
