dial,roster_profile,treatment_value,best_of,series,expected_fit_edge,control_win_rate,treatment_win_rate,series_win_lift_pp,series_win_lift_ci_low,series_win_lift_ci_high,rounds_won_added_per_map,rounds_won_added_ci_low,rounds_won_added_ci_high,round_margin_added_per_map,round_margin_added_ci_low,round_margin_added_ci_high
aggression,balanced,0.0,3,100,0.6666666666666665,0.54,0.34,-20.0,-32.45857783280907,-7.541422167190927,-0.77,-1.2296086832116009,-0.31039131678839915,-1.16,-1.9463875206379098,-0.3736124793620901
aggression,balanced,0.0,5,100,0.6666666666666665,0.47,0.32,-15.0,-25.92348040884517,-4.076519591154831,-0.6060000000000001,-0.9398552511360443,-0.27214474886395595,-1.0659999999999998,-1.62322178445817,-0.5087782155418297
aggression,balanced,100.0,3,100,0.6666666666666665,0.54,0.76,22.0,10.656535009980503,33.3434649900195,1.3266666666666669,0.9160813854749111,1.7372519478584225,3.13,2.417152602154543,3.842847397845457
aggression,balanced,100.0,5,100,0.6666666666666665,0.47,0.8,33.0,21.495193099483075,44.504806900516925,1.318,0.9729133611699956,1.6630866388300045,2.966,2.3682983813360257,3.5637016186639747
aggression,fraggers,0.0,3,100,1.1666666666666667,0.48,0.42,-6.0,-18.40238751860367,6.402387518603671,-0.4,-0.874408509982098,0.07440850998209797,-0.4800000000000001,-1.229203897899969,0.269203897899969
aggression,fraggers,0.0,5,100,1.1666666666666667,0.44,0.44,0.0,-11.819244707448332,11.819244707448332,-0.44799999999999995,-0.814083814347579,-0.08191618565242087,-0.51,-1.0595736970460363,0.039573697046036305
aggression,fraggers,100.0,3,100,1.1666666666666667,0.48,0.79,31.0,18.636783786105042,43.36321621389496,1.2566666666666666,0.8455697799894621,1.667763553343871,3.3433333333333333,2.6596577201490903,4.027008946517577
aggression,fraggers,100.0,5,100,1.1666666666666667,0.44,0.84,40.0,28.180755292551666,51.819244707448334,1.1219999999999999,0.8060383320525711,1.4379616679474285,3.054,2.5460060147655845,3.561993985234415
aggression,mixed,0.0,3,100,0.21666666666666667,0.54,0.43,-11.0,-23.73428776369078,1.7342877636907819,-0.4766666666666666,-0.9213577196630579,-0.03197561367027535,-1.0433333333333334,-1.785153914313587,-0.30151275235307984
aggression,mixed,0.0,5,100,0.21666666666666667,0.42,0.34,-8.0,-19.377621842365777,3.3776218423657767,-0.8240000000000001,-1.1838040729243198,-0.46419592707568025,-1.344,-1.8813701057272287,-0.8066298942727714
aggression,mixed,100.0,3,100,0.21666666666666667,0.54,0.67,13.0,1.2945710601163078,24.705428939883692,0.7366666666666667,0.34617697231905054,1.1271563610142827,2.1733333333333333,1.4728357072950309,2.873830959371636
aggression,mixed,100.0,5,100,0.21666666666666667,0.42,0.78,36.0,24.67707857949418,47.32292142050582,0.996,0.6785638469604232,1.3134361530395768,2.478,1.9155977999669453,3.0404022000330553
aggression,tacticians,0.0,3,100,-0.41666666666666674,0.51,0.41,-10.0,-20.235766170195035,0.2357661701950331,-0.5700000000000001,-0.9912947301498991,-0.14870526985010096,-0.9133333333333333,-1.599034412988113,-0.22763225367855355
aggression,tacticians,0.0,5,100,-0.41666666666666674,0.48,0.35,-13.0,-24.022497471310686,-1.9775025286893122,-0.728,-1.051180407847013,-0.404819592152987,-1.258,-1.7769500921645316,-0.7390499078354684
aggression,tacticians,100.0,3,100,-0.41666666666666674,0.51,0.73,22.0,11.733950431769106,32.2660495682309,1.0966666666666667,0.6809350647844049,1.5123982685489286,2.2333333333333334,1.5659299558786377,2.900736710788029
aggression,tacticians,100.0,5,100,-0.41666666666666674,0.48,0.73,25.0,13.387763333274663,36.61223666672534,1.022,0.7048125847070821,1.339187415292918,2.096,1.551388264570367,2.6406117354296335
map_control,balanced,0.0,3,100,0.6666666666666665,0.54,0.56,2.0,-8.41614597486503,12.41614597486503,0.21333333333333335,-0.09625947088213568,0.5229261375488023,0.4266666666666667,-0.06444998689682974,0.9177833202301631
map_control,balanced,0.0,5,100,0.6666666666666665,0.47,0.53,6.0,-4.356368459878571,16.35636845987857,0.25599999999999995,0.029947696621719228,0.48205230337828064,0.474,0.09731989031229238,0.8506801096877076
map_control,balanced,100.0,3,100,0.6666666666666665,0.54,0.45,-9.0,-19.081060550268596,1.0810605502685977,0.010000000000000089,-0.28866753577314613,0.30866753577314626,-0.08666666666666664,-0.5838508228078746,0.41051748947454136
map_control,balanced,100.0,5,100,0.6666666666666665,0.47,0.44,-3.0,-13.21869231982609,7.21869231982609,-0.019999999999999928,-0.26757799220088646,0.22757799220088662,-0.23000000000000004,-0.6392931990984982,0.1792931990984981
map_control,fraggers,0.0,3,100,-0.41666666666666674,0.48,0.55,7.000000000000001,-3.518094846117294,17.518094846117297,-0.14666666666666667,-0.4487597061995748,0.15542637286624145,0.07666666666666665,-0.33074290391834654,0.48407623725167986
map_control,fraggers,0.0,5,100,-0.41666666666666674,0.44,0.5,6.0,-5.080432475241382,17.08043247524138,-0.08800000000000008,-0.3365053780610242,0.16050537806102402,0.03600000000000003,-0.32454099651170953,0.3965409965117096
map_control,fraggers,100.0,3,100,-0.41666666666666674,0.48,0.4,-8.0,-18.673737050642696,2.6737370506426963,-0.49333333333333335,-0.8349650148139094,-0.15170165185275725,-0.5633333333333334,-1.066300571747596,-0.060366094919070856
