dial,treatment_value,best_of,aligned_profile,mismatched_profile,series,fit_interaction_win_pp,fit_interaction_win_ci_low,fit_interaction_win_ci_high,fit_interaction_rounds_per_map,fit_interaction_rounds_ci_low,fit_interaction_rounds_ci_high
aggression,0.0,3,fraggers,tacticians,100,4.0,-10.981407467156405,18.981407467156405,0.17000000000000004,-0.4615552142109839,0.801555214210984
aggression,0.0,5,fraggers,tacticians,100,13.0,-1.9126106217374161,27.912610621737414,0.28,-0.1863237527986778,0.7463237527986779
aggression,100.0,3,fraggers,tacticians,100,9.0,-4.9555536897637555,22.955553689763754,0.15999999999999998,-0.4064110330109208,0.7264110330109208
aggression,100.0,5,fraggers,tacticians,100,15.0,-0.35364925529255054,30.353649255292552,0.09999999999999992,-0.3292879554411803,0.5292879554411801
map_control,0.0,3,tacticians,fraggers,100,0.0,-13.929113468566548,13.929113468566548,0.5166666666666666,0.10165335977955225,0.931679973553781
map_control,0.0,5,tacticians,fraggers,100,0.0,-14.204964276653781,14.204964276653781,0.382,0.07570668112432039,0.6882933188756797
map_control,100.0,3,tacticians,fraggers,100,11.0,-2.8998315519187905,24.89983155191879,0.7033333333333335,0.22504229044631852,1.1816243762203484
map_control,100.0,5,tacticians,fraggers,100,3.0,-11.86047758113426,17.860477581134262,0.6140000000000001,0.25234677686764617,0.975653223132354
pace,0.0,3,fraggers,tacticians,100,21.0,6.714677165536351,35.28532283446365,0.31666666666666665,-0.1491552286531771,0.7824885619865104
pace,0.0,5,fraggers,tacticians,100,9.0,-6.026666666666669,24.02666666666667,0.2699999999999998,-0.14065615689031052,0.6806561568903101
pace,100.0,3,fraggers,tacticians,100,8.0,-6.3895225631693435,22.389522563169344,0.24333333333333318,-0.2948470270402195,0.7815136937068858
pace,100.0,5,fraggers,tacticians,100,6.0,-9.465707389269495,21.465707389269497,0.25199999999999995,-0.1330333506950726,0.6370333506950725
util_discipline,0.0,3,tacticians,fraggers,100,5.0,-2.5654451023029434,12.565445102302943,0.3499999999999999,0.060880006968783984,0.6391199930312159
util_discipline,0.0,5,tacticians,fraggers,100,7.000000000000001,-0.5036432901799515,14.503643290179953,0.3120000000000001,0.09568521792199569,0.5283147820780045
util_discipline,100.0,3,tacticians,fraggers,100,-3.0,-18.624218962297547,12.624218962297546,0.3633333333333333,-0.23983963402527486,0.9665063006919414
util_discipline,100.0,5,tacticians,fraggers,100,-1.0,-17.59728540539937,15.597285405399369,0.3200000000000001,-0.143586342954295,0.7835863429542953
