roster_profile,player_slot,aim_precision,aim_reactivity,movement,game_sense,utility_usage,positioning,clutch_factor,tilt_resistance,composure,comms_quality,arithmetic_overall
balanced,1,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
balanced,2,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
balanced,3,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
balanced,4,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
balanced,5,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
fraggers,1,90.0,90.0,90.0,50.0,50.0,82.5,82.5,82.5,82.5,50.0,75.0
fraggers,2,90.0,90.0,90.0,50.0,50.0,82.5,82.5,82.5,82.5,50.0,75.0
fraggers,3,90.0,90.0,90.0,50.0,50.0,82.5,82.5,82.5,82.5,50.0,75.0
fraggers,4,90.0,90.0,90.0,50.0,50.0,82.5,82.5,82.5,82.5,50.0,75.0
fraggers,5,90.0,90.0,90.0,50.0,50.0,82.5,82.5,82.5,82.5,50.0,75.0
tacticians,1,50.0,50.0,50.0,90.0,90.0,82.5,82.5,82.5,82.5,90.0,75.0
tacticians,2,50.0,50.0,50.0,90.0,90.0,82.5,82.5,82.5,82.5,90.0,75.0
tacticians,3,50.0,50.0,50.0,90.0,90.0,82.5,82.5,82.5,82.5,90.0,75.0
tacticians,4,50.0,50.0,50.0,90.0,90.0,82.5,82.5,82.5,82.5,90.0,75.0
tacticians,5,50.0,50.0,50.0,90.0,90.0,82.5,82.5,82.5,82.5,90.0,75.0
mixed,1,90.0,90.0,90.0,50.0,50.0,82.5,82.5,82.5,82.5,50.0,75.0
mixed,2,90.0,90.0,90.0,50.0,50.0,82.5,82.5,82.5,82.5,50.0,75.0
mixed,3,50.0,50.0,50.0,90.0,90.0,82.5,82.5,82.5,82.5,90.0,75.0
mixed,4,50.0,50.0,50.0,90.0,90.0,82.5,82.5,82.5,82.5,90.0,75.0
mixed,5,50.0,50.0,50.0,90.0,90.0,82.5,82.5,82.5,82.5,90.0,75.0
